exp_rep, bfly, algo, time, iterations
2, fes, 2076079617310.50, 59.93, 84087
3, fes, 6181728600295.06, 0.01, 12
3, fes, 2072695171332.82, 0.62, 897
3, fes, 1932756191778.73, 1.23, 1762
3, fes, 1934022925472.74, 1.84, 2622
3, fes, 2027117917782.42, 2.45, 3489
3, fes, 1993146303590.87, 3.06, 4386
3, fes, 1997843853949.14, 3.67, 5285
3, fes, 2048273985441.05, 4.27, 6149
3, fes, 2036629382553.56, 4.87, 7032
3, fes, 2016462925099.72, 5.47, 7931
3, fes, 2041624860788.15, 6.07, 8825
3, fes, 2045921434877.11, 6.67, 9703
3, fes, 2055001445862.17, 7.27, 10569
3, fes, 2050260057706.09, 7.87, 11464
3, fes, 2042242456318.49, 8.47, 12341
3, fes, 2045830716318.81, 9.07, 13208
3, fes, 2063195908289.32, 9.67, 14077
3, fes, 2049174220797.18, 10.27, 14969
3, fes, 2028736593368.97, 10.87, 15863
3, fes, 2018571904263.89, 11.47, 16741
3, fes, 2021474078840.56, 12.07, 17622
3, fes, 2041596877041.01, 12.67, 18470
3, fes, 2041118935257.26, 13.27, 19315
3, fes, 2042217264552.25, 13.87, 20142
3, fes, 2045996711010.58, 14.47, 20950
3, fes, 2050236516742.32, 15.07, 21753
3, fes, 2061511830656.18, 15.67, 22558
3, fes, 2065935941768.04, 16.27, 23318
3, fes, 2068113774360.42, 16.87, 24103
3, fes, 2068156588358.67, 17.47, 24900
3, fes, 2074465425997.78, 18.07, 25667
3, fes, 2064315132025.92, 18.67, 26447
3, fes, 2066093792473.19, 19.27, 27238
3, fes, 2065849794610.53, 19.87, 28040
3, fes, 2066717710201.96, 20.47, 28822
3, fes, 2069157290015.38, 21.07, 29599
3, fes, 2065374034225.57, 21.67, 30371
3, fes, 2063036975801.84, 22.27, 31142
3, fes, 2072538112834.32, 22.87, 31907
3, fes, 2070581691117.75, 23.47, 32718
3, fes, 2063438425205.84, 24.07, 33482
3, fes, 2064239822125.34, 24.67, 34269
3, fes, 2062492921891.83, 25.27, 35078
3, fes, 2055811846575.18, 25.87, 35912
3, fes, 2065321931881.42, 26.47, 36783
3, fes, 2075220991866.37, 27.07, 37651
3, fes, 2075359221210.52, 27.67, 38541
3, fes, 2083870558717.64, 28.27, 39427
3, fes, 2081233095976.56, 28.87, 40328
3, fes, 2081021913549.36, 29.47, 41203
3, fes, 2076206016157.81, 30.07, 42084
3, fes, 2070207446000.26, 30.67, 42942
3, fes, 2072007018393.94, 31.27, 43783
3, fes, 2079711490075.59, 31.87, 44641
3, fes, 2073782254664.61, 32.48, 45550
3, fes, 2070154113761.81, 33.09, 46446
3, fes, 2065630502202.68, 33.70, 47352
3, fes, 2068859134952.24, 34.31, 48272
3, fes, 2068559241824.18, 34.92, 49194
3, fes, 2067567713950.78, 35.53, 50090
3, fes, 2063766973301.08, 36.14, 50994
3, fes, 2060079405186.07, 36.75, 51894
3, fes, 2061243597553.74, 37.36, 52796
3, fes, 2057905010616.59, 37.97, 53690
3, fes, 2055724948877.75, 38.58, 54579
3, fes, 2061652543057.64, 39.19, 55477
3, fes, 2062505612096.61, 39.80, 56339
3, fes, 2056522535174.49, 40.41, 57206
3, fes, 2061292345017.64, 41.02, 58054
3, fes, 2057359380710.99, 41.63, 58924
3, fes, 2059337009827.67, 42.24, 59739
3, fes, 2065203149416.84, 42.85, 60547
3, fes, 2063517870007.19, 43.46, 61372
3, fes, 2065382813944.56, 44.07, 62192
3, fes, 2063717895091.45, 44.68, 63024
3, fes, 2064518392515.90, 45.29, 63849
3, fes, 2065084755605.05, 45.90, 64661
3, fes, 2065929415570.95, 46.51, 65499
3, fes, 2070282202746.96, 47.12, 66356
3, fes, 2066085679795.17, 47.73, 67208
3, fes, 2065668395602.71, 48.34, 68069
3, fes, 2064921173553.11, 48.95, 68906
3, fes, 2066690300432.27, 49.56, 69700
3, fes, 2068413435153.63, 50.17, 70525
3, fes, 2068349852281.99, 50.78, 71336
3, fes, 2070986297064.69, 51.39, 72140
3, fes, 2072685499157.91, 52.00, 72965
3, fes, 2073942271476.54, 52.61, 73802
3, fes, 2073562498560.09, 53.22, 74618
3, fes, 2075584314466.24, 53.83, 75470
3, fes, 2074276624394.46, 54.44, 76294
3, fes, 2072271865203.89, 55.05, 77159
