exp_rep, bfly, algo, time, iterations
3, fes, 104521476730314.62, 0.62, 439
3, fes, 106507176169306.45, 1.23, 873
3, fes, 113135468694560.09, 1.84, 1305
3, fes, 109666559296788.04, 2.45, 1733
3, fes, 105199407486768.46, 3.06, 2155
3, fes, 103042565809331.14, 3.67, 2576
3, fes, 102703736018418.61, 4.27, 2995
3, fes, 100543632798324.25, 4.87, 3406
3, fes, 102802235179906.94, 5.47, 3820
3, fes, 102437535844609.68, 6.07, 4232
3, fes, 101418360104924.50, 6.67, 4650
3, fes, 100851395735505.35, 7.27, 5060
3, fes, 100322949138443.81, 7.87, 5476
3, fes, 100500826144391.46, 8.47, 5892
3, fes, 100520179150790.64, 9.07, 6298
3, fes, 100328454832702.61, 9.67, 6708
3, fes, 100929910984935.74, 10.27, 7125
3, fes, 101591020891654.61, 10.87, 7535
3, fes, 101717526304811.34, 11.47, 7944
3, fes, 101475106441394.41, 12.07, 8361
3, fes, 101368255900553.83, 12.67, 8774
3, fes, 101688704190540.31, 13.27, 9187
3, fes, 101432814312972.09, 13.87, 9597
3, fes, 101940156716360.70, 14.47, 10007
3, fes, 102182679162285.35, 15.07, 10428
3, fes, 101612302357166.97, 15.67, 10836
3, fes, 101573764059373.85, 16.27, 11250
3, fes, 101738361976928.94, 16.87, 11667
3, fes, 102095239062733.22, 17.47, 12066
3, fes, 102106258140686.53, 18.07, 12465
3, fes, 102295970461600.55, 18.67, 12854
3, fes, 102042711891498.46, 19.27, 13246
3, fes, 102124609084283.08, 19.87, 13633
3, fes, 101761454464652.95, 20.47, 14026
3, fes, 101697485967679.65, 21.07, 14413
3, fes, 101855019716574.04, 21.67, 14802
3, fes, 101519669002404.51, 22.27, 15199
3, fes, 101254536264906.56, 22.87, 15594
3, fes, 101557184683411.41, 23.47, 15995
3, fes, 101699188452218.97, 24.07, 16404
3, fes, 101955943365800.27, 24.67, 16804
3, fes, 101929464587166.68, 25.27, 17219
3, fes, 102413076013923.42, 25.87, 17630
3, fes, 102642043624627.27, 26.47, 18065
3, fes, 102510023970313.18, 27.07, 18498
3, fes, 102464509063827.67, 27.67, 18955
3, fes, 102334566637725.39, 28.27, 19408
3, fes, 102232930942249.42, 28.87, 19866
3, fes, 102778410339985.43, 29.47, 20325
3, fes, 102861315512515.56, 30.07, 20789
3, fes, 102863566523653.48, 30.67, 21258
3, fes, 102800855650276.29, 31.27, 21724
3, fes, 102672050454926.84, 31.87, 22203
3, fes, 102654259146224.88, 32.48, 22682
3, fes, 102428990559809.68, 33.09, 23147
3, fes, 102553443776215.15, 33.70, 23601
3, fes, 102524012533951.27, 34.31, 24054
3, fes, 102353324612542.84, 34.92, 24502
3, fes, 102346576761755.35, 35.53, 24941
3, fes, 102402275383642.77, 36.14, 25377
3, fes, 102342677608648.92, 36.75, 25811
3, fes, 102314008103344.69, 37.36, 26246
3, fes, 102319942860112.59, 37.97, 26684
3, fes, 102262997065939.51, 38.58, 27107
3, fes, 102157396448019.43, 39.19, 27530
3, fes, 102147461282183.90, 39.80, 27958
3, fes, 102089747783920.53, 40.41, 28384
3, fes, 101948930889141.10, 41.02, 28807
3, fes, 101862811073614.57, 41.63, 29230
3, fes, 101919064492026.52, 42.24, 29652
3, fes, 101979928617871.76, 42.85, 30075
3, fes, 101969331843240.60, 43.46, 30497
3, fes, 101855123754198.36, 44.07, 30921
3, fes, 101728118394934.41, 44.68, 31346
3, fes, 101617118870883.76, 45.29, 31766
3, fes, 101545916231066.09, 45.90, 32181
3, fes, 101486899722735.52, 46.51, 32598
3, fes, 101559475636003.06, 47.12, 33020
3, fes, 101374161470748.33, 47.73, 33441
3, fes, 101211784657733.97, 48.34, 33858
3, fes, 101034345940367.93, 48.95, 34272
3, fes, 101090194447042.75, 49.56, 34693
3, fes, 101273093435190.32, 50.17, 35113
3, fes, 101310968818344.68, 50.78, 35525
3, fes, 101276753174804.63, 51.39, 35947
3, fes, 101329554811780.77, 52.00, 36361
3, fes, 101260562982415.49, 52.61, 36796
3, fes, 101190290030130.16, 53.22, 37243
3, fes, 101314888460061.75, 53.83, 37702
3, fes, 101316774421360.89, 54.44, 38152
3, fes, 101397768137231.59, 55.05, 38612
3, fes, 101353230847804.49, 55.66, 39079
3, fes, 101224597978591.44, 56.27, 39552
3, fes, 101306970248738.43, 56.88, 40018
3, fes, 101364591846988.66, 57.49, 40504
3, fes, 101478893602045.84, 58.10, 40981
3, fes, 101457220832665.64, 58.71, 41458
3, fes, 101414923713620.35, 59.32, 41936
3, fes, 101341731786870.22, 59.93, 42414
4, fes, 381956545015001.35, 0.01, 4
4, fes, 95355980576313.40, 0.62, 470
4, fes, 100012581536820.92, 1.23, 923
4, fes, 106120755518602.44, 1.84, 1375
4, fes, 105062180669821.66, 2.45, 1817
4, fes, 103202927251709.97, 3.06, 2261
4, fes, 103465566174337.37, 3.67, 2693
4, fes, 101620129590705.27, 4.27, 3123
4, fes, 101605462644035.16, 4.87, 3545
4, fes, 101994664520806.47, 5.47, 3974
4, fes, 101638446625503.81, 6.07, 4391
4, fes, 100732548884618.99, 6.67, 4813
4, fes, 100444464910489.87, 7.27, 5230
4, fes, 100484326976954.75, 7.87, 5649
4, fes, 100632965183836.63, 8.47, 6066
4, fes, 100269072949090.49, 9.07, 6480
4, fes, 99757080232313.67, 9.67, 6899
4, fes, 99497223705828.08, 10.27, 7311
4, fes, 98937220484083.86, 10.87, 7730
4, fes, 99006445238170.06, 11.47, 8145
4, fes, 99054458939926.80, 12.07, 8563
4, fes, 99362433022943.67, 12.67, 8971
4, fes, 99903082037652.93, 13.27, 9388
4, fes, 100391496732529.99, 13.87, 9798
4, fes, 100558519663722.24, 14.47, 10214
4, fes, 100701095503663.88, 15.07, 10629
4, fes, 101179342569756.46, 15.67, 11043
4, fes, 101013768419642.34, 16.27, 11452
4, fes, 101578813844154.05, 16.87, 11864
4, fes, 100884522778660.87, 17.47, 12279
4, fes, 101041175061459.90, 18.07, 12694
4, fes, 101609216336214.69, 18.67, 13106
4, fes, 101901617105109.42, 19.27, 13524
4, fes, 101705427960624.84, 19.87, 13934
4, fes, 101426022406421.38, 20.47, 14340
4, fes, 101204497071457.86, 21.07, 14754
4, fes, 101058767618829.17, 21.67, 15167
4, fes, 101316408817921.76, 22.27, 15558
4, fes, 101382511092968.21, 22.87, 15951
4, fes, 101481340328196.93, 23.47, 16336
4, fes, 101824827157644.78, 24.07, 16721
4, fes, 101535946461885.23, 24.67, 17118
4, fes, 101676927436283.00, 25.27, 17506
4, fes, 101377686436624.90, 25.87, 17899
4, fes, 101379450347055.23, 26.47, 18296
4, fes, 101588151546995.76, 27.07, 18697
4, fes, 101946547550561.85, 27.67, 19091
4, fes, 101974924915600.26, 28.27, 19492
